Majority protein IDs,Gene names,Intensity 1_10_0_1,Intensity 2_10_0_2,Intensity 3_10_0_3,Intensity 4_10_001_1,Intensity 5_10_001_2,Intensity 6_10_001_3,Intensity 7_10_01_1,Intensity 8_10_01_2,Intensity 9_10_01_3,Intensity 10_10_1_1,Intensity 11_10_1_2,Intensity 12_10_1_3,Intensity 13_10_10_1,Intensity 14_10_10_2,Intensity 15_10_10_3,Intensity 16_10_100_1,Intensity 17_10_100_2,Intensity 18_10_100_3,Intensity 19_10_1000_1,Intensity 20_10_1000_2,Intensity 21_10_1000_3,Intensity 22_24_0_1,Intensity 23_24_0_2,Intensity 24_24_0_3,Intensity 25_24_001_1,Intensity 26_24_001_2,Intensity 27_24_001_3,Intensity 28_24_01_1,Intensity 29_24_01_2,Intensity 30_24_01_3,Intensity 31_24_1_1,Intensity 32_24_1_2,Intensity 33_24_1_3,Intensity 34_24_10_1,Intensity 35_24_10_2,Intensity 36_24_10_3,Intensity 37_24_100_1,Intensity 38_24_100_2,Intensity 39_24_100_3,Intensity 40_24_1000_1,Intensity 41_24_1000_2,Intensity 42_24_1000_3
O00165,HAX1,385480000,308530000,259650000,231590000,197730000,294970000,322480000,292870000,196490000,321420000,239970000,210700000,243900000,231810000,259590000,213690000,241260000,406100000,380970000,221200000,318200000,483020000,618610000,420730000,342790000,211620000,245570000,513320000,253470000,463870000,315210000,459700000,487790000,214670000,503170000,502870000,354240000,310910000,467530000,401480000,502080000,327610000
O00170,AIP,3619400000,2698900000,2675500000,2676700000,2366200000,2557400000,2611500000,2623900000,2265600000,2141900000,1898100000,2077400000,1937800000,1671000000,1911400000,1871700000,1978800000,3441700000,2722500000,2355300000,3114400000,2905100000,2925700000,3398800000,3225800000,2743100000,2154200000,2833300000,2884500000,2638900000,2325700000,2945600000,3172700000,1678700000,3208900000,3436200000,3038000000,3056200000,2793800000,3004200000,3201700000,3082400000
O00178,GTPBP1,1777200000,1305700000,1388700000,1366900000,1314900000,1345300000,1157300000,1429000000,1379600000,902450000,969420000,1057200000,833350000,728550000,899350000,911930000,943100000,1811200000,1456500000,959280000,1611600000,1482200000,1519600000,1539500000,1549000000,963820000,954130000,946440000,1110500000,1085000000,994090000,1288300000,1359000000,864200000,1406300000,1363900000,1251800000,1576600000,1331500000,1406600000,1550700000,1605200000
O00186,STXBP3,1038600000,904070000,721090000,793700000,685200000,641900000,660430000,653360000,677300000,670670000,610070000,650720000,549980000,597180000,596620000,626860000,604870000,925150000,1145600000,947660000,786170000,1038900000,1337600000,902510000,918050000,955610000,1106100000,815750000,1195900000,855970000,769590000,1358200000,1116200000,976370000,1149300000,1293500000,866810000,791240000,1127900000,1320900000,910370000,1051000000
O00187,MASP2,0,0,0,7304700,0,5028200,8844100,0,0,0,0,0,0,5774300,0,0,0,8983100,0,4226900,8322200,0,0,0,7174700,0,0,0,0,0,0,5551500,9574600,0,0,0,7999700,9470500,0,10765000,0,16244000
O00189,AP4M1,127720000,121790000,135120000,138860000,86828000,116230000,106290000,71406000,127690000,108980000,74831000,159120000,84343000,51122000,96145000,94030000,122970000,116640000,125540000,38519000,179060000,123370000,116980000,104630000,93450000,91407000,66345000,145650000,77290000,123910000,123440000,172890000,45597000,47810000,92137000,105180000,76007000,230200000,228940000,207280000,185420000,203680000
O00192,ARVCF,140950000,116370000,63417000,76398000,59910000,94595000,89405000,83385000,93520000,46219000,60592000,65664000,69073000,47658000,42385000,72512000,60729000,136590000,140660000,46497000,88930000,162680000,200640000,146380000,104510000,94826000,59098000,88119000,117950000,122890000,38860000,162780000,154070000,72483000,143350000,177820000,129560000,159420000,133770000,82721000,154560000,141170000
O00193,SMAP,648910000,755070000,492490000,752290000,329550000,300790000,417460000,270600000,499510000,490380000,628490000,282810000,525340000,402310000,321060000,357720000,294230000,580900000,707460000,1107000000,549310000,1065400000,987920000,1074600000,926550000,853730000,759960000,990570000,1021900000,713680000,654100000,744450000,939440000,820460000,875440000,868570000,633130000,259430000,425830000,377560000,600740000,543140000
O00203,AP3B1,5204200000,4736400000,4619500000,3812400000,3222700000,3395300000,3244100000,3321700000,3192500000,3138500000,3380800000,2360600000,2647800000,2566400000,2920000000,3173100000,3150700000,5171800000,2724800000,2388400000,4431300000,4026900000,5366700000,4874000000,4590400000,2986300000,2642100000,3603300000,4911500000,2729300000,2664500000,3714300000,3314900000,2272600000,3774200000,4344700000,2960500000,3660100000,3772400000,3527900000,4517600000,3422000000
O00214,LGALS8,616100000,551500000,399810000,352390000,270860000,300070000,267400000,255110000,272800000,313370000,287060000,293570000,122190000,160370000,160060000,167640000,180510000,567300000,566660000,177640000,510870000,521340000,520450000,513300000,430650000,363280000,354050000,348880000,388210000,319070000,118200000,573140000,356050000,339900000,506580000,538050000,458780000,396100000,502160000,392990000,434050000,755820000
O00217,NDUFS8,1663900000,1234500000,1176900000,1202700000,575660000,750990000,604120000,661820000,579560000,1033100000,715830000,536260000,739370000,597880000,567680000,526290000,572410000,1909800000,1554400000,665150000,1802400000,1472800000,1874000000,1497700000,1772400000,1012900000,759120000,1026100000,1781200000,1488900000,833850000,2242800000,1924900000,1406000000,1977500000,1958800000,1461200000,1382600000,1454200000,1634700000,1774800000,1397100000
O00220,TNFRSF10A,0,0,0,0,0,8455100,0,0,11172000,0,9050300,17318000,12069000,11129000,10252000,8433800,0,15978000,0,12313000,0,0,0,21786000,21044000,31202000,0,0,19064000,26379000,21015000,14671000,17429000,0,21420000,16891000,16415000,33508000,0,0,21647000,0
O00221,NFKBIE,69682000,34948000,30826000,29434000,29236000,34513000,25683000,25722000,6387600,6511900,13644000,12312000,14051000,24018000,31967000,25098000,26290000,45323000,29991000,72638000,48718000,56860000,83765000,65632000,51938000,81842000,51776000,50690000,54714000,52273000,50235000,102630000,41748000,34999000,105740000,56602000,85084000,94244000,94000000,103500000,82662000,73925000
O00231,PSMD11,14863000000,12139000000,14864000000,11020000000,10494000000,10138000000,10916000000,10528000000,10794000000,10782000000,9898300000,9947300000,7879400000,8927200000,9502500000,8011400000,8989500000,13916000000,11675000000,9627100000,22860000000,22888000000,20963000000,16117000000,11804000000,12569000000,8733600000,11984000000,9722700000,9235800000,10347000000,14000000000,12553000000,6818900000,12800000000,12998000000,13081000000,14323000000,16829000000,16509000000,21714000000,12086000000
O00232,PSMD12,4228200000,3666700000,3301500000,3439400000,1574600000,1815100000,1676200000,1792300000,1938800000,2012000000,1765700000,1405800000,1600500000,1406900000,1650600000,1362700000,1611600000,3710600000,2835600000,2266500000,3767900000,4784200000,4896300000,4418100000,4364300000,2970600000,2676700000,3995400000,3214500000,2548100000,2436400000,4931200000,4758200000,2101600000,4594000000,4130000000,3146700000,2987400000,3136200000,3410500000,4288600000,4054800000
O00233,PSMD9,1699800000,1387600000,1594900000,1298500000,1168200000,1232400000,1216700000,900490000,1003500000,1177700000,1223600000,1056800000,1087800000,1039700000,1196300000,1100900000,1061500000,1283100000,1236000000,808040000,1356700000,1777700000,1613800000,1708600000,1066100000,1076900000,1215900000,1546300000,1108500000,1092800000,1157400000,1267900000,1354700000,973090000,1419900000,1299600000,744130000,1580000000,1285500000,1300200000,1596100000,1380500000
O00244,ATOX1,2176800000,1711400000,1597600000,1936500000,1635000000,1765600000,1742300000,1849500000,1866000000,1167800000,1284100000,1386900000,1311500000,891340000,1298500000,1276600000,1105800000,1942000000,2085400000,2144800000,2849400000,2673100000,2548500000,2701300000,1770000000,1589000000,1761800000,1322600000,2077800000,1687800000,1394700000,2067200000,2013200000,1578000000,1321200000,1687500000,1254000000,2077900000,2127600000,2097500000,2193700000,2007000000
