Majority protein IDs,Gene names,Intensity 1_10_0_1,Intensity 2_10_0_2,Intensity 3_10_0_3,Intensity 4_10_001_1,Intensity 5_10_001_2,Intensity 6_10_001_3,Intensity 7_10_01_1,Intensity 8_10_01_2,Intensity 9_10_01_3,Intensity 10_10_1_1,Intensity 11_10_1_2,Intensity 12_10_1_3,Intensity 13_10_10_1,Intensity 14_10_10_2,Intensity 15_10_10_3,Intensity 16_10_100_1,Intensity 17_10_100_2,Intensity 18_10_100_3,Intensity 19_10_1000_1,Intensity 20_10_1000_2,Intensity 21_10_1000_3,Intensity 22_24_0_1,Intensity 23_24_0_2,Intensity 24_24_0_3,Intensity 25_24_001_1,Intensity 26_24_001_2,Intensity 27_24_001_3,Intensity 28_24_01_1,Intensity 29_24_01_2,Intensity 30_24_01_3,Intensity 31_24_1_1,Intensity 32_24_1_2,Intensity 33_24_1_3,Intensity 34_24_10_1,Intensity 35_24_10_2,Intensity 36_24_10_3,Intensity 37_24_100_1,Intensity 38_24_100_2,Intensity 39_24_100_3,Intensity 40_24_1000_1,Intensity 41_24_1000_2,Intensity 42_24_1000_3
P01130,LDLR,607440000,511030000,462110000,377520000,440900000,353680000,281690000,320630000,333630000,330340000,401870000,298330000,332340000,462810000,384280000,323140000,430220000,447500000,309300000,210050000,578160000,1431500000,1170700000,997520000,858990000,546390000,562000000,853430000,1092900000,967650000,953050000,837850000,1004000000,1319600000,1149000000,1231700000,898000000,769520000,856180000,421560000,1503700000,650470000
P01137,TGFB1,24215000,47437000,57329000,35660000,39486000,52845000,33229000,54480000,43034000,19016000,23581000,21424000,33819000,21240000,28763000,36002000,31622000,73200000,24075000,23467000,27096000,68284000,82198000,98297000,82741000,44825000,59844000,57998000,53714000,18360000,28844000,96379000,83577000,16698000,73735000,94404000,69465000,91355000,107610000,71420000,68720000,95097000
P01344,IGF2,494860000,389530000,258330000,314670000,299610000,253060000,263200000,266260000,257430000,305780000,249340000,236640000,274850000,265990000,243510000,234600000,228210000,422430000,274780000,260790000,305310000,269730000,299870000,310020000,267530000,161130000,183460000,244030000,149180000,235490000,248460000,213980000,179330000,130420000,245980000,313210000,244390000,224460000,194830000,218610000,239690000,139330000
P01614;P01617;P06309;P06310,IGKV2D-40,29560000,14304000,30809000,27022000,21230000,19279000,18678000,39909000,16008000,14652000,8655500,17786000,9903000,13355000,11874000,5629400,7697600,0,0,111200000,0,0,0,0,0,6852100,0,28997000,0,0,0,28927000,0,0,0,0,0,0,0,0,0,7373500
P01625,IGKV4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01834,IGKC,0,0,0,0,0,0,12050000,18712000,9211200,0,0,0,0,0,15293000,0,0,0,0,0,7305600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631300,6156800,0,0,0,0
P01859,IGHG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01892;P10316;P01891,HLA-A,4984100000,3134100000,3297800000,3557200000,2861200000,2658000000,3021200000,2904000000,2935700000,2128300000,2013800000,2743700000,2588900000,2083200000,2442800000,2786700000,2601700000,4718700000,4482600000,3698600000,4176200000,5122600000,5778300000,5800300000,4642600000,4517800000,4527900000,4727100000,4088600000,4833300000,4972100000,4248700000,6000000000,3877900000,5109400000,5487500000,5843100000,6011500000,6583000000,6449900000,3885700000,5468000000
P68871;P02042,HBB;HBD,0,31380000,0,0,0,23564000,0,0,4817900,0,0,2488000,0,0,0,0,10552000,90735000,57398000,25181000,10066000,10131000,12464000,7863700,6888600,9634300,0,0,0,6043600,3492200,0,9006100,0,0,0,0,0,0,0,11044000,16517000
P02462;P29400,COL4A1;COL4A5,0,0,0,0,0,3737800,5499100,0,0,4030500,0,3095500,0,0,0,0,0,3421800,0,0,2958600,0,41294000,15057000,18577000,7342500,0,12243000,0,0,0,0,0,0,5539900,35832000,0,15276000,0,0,9358000,0
P02489,CRYAA,46361000,39336000,46802000,73879000,49681000,50532000,69655000,31825000,34680000,60872000,60924000,39774000,44867000,57409000,43502000,71779000,84560000,86000000,139000000,0,111170000,184340000,270860000,291970000,211870000,149460000,246280000,165570000,196780000,92876000,79088000,238240000,113430000,104860000,272360000,238830000,82806000,139700000,170630000,15943000,49064000,80613000
P02545,LMNA,41182000000,34432000000,32274000000,32058000000,27484000000,27867000000,26019000000,27415000000,28578000000,25869000000,27913000000,23375000000,23278000000,24302000000,24536000000,23512000000,23352000000,37497000000,33430000000,18531000000,42399000000,43444000000,45400000000,44635000000,44679000000,40736000000,31536000000,37338000000,39731000000,35743000000,34056000000,41804000000,42654000000,28698000000,44366000000,47497000000,40571000000,42752000000,39147000000,37696000000,45422000000,41675000000
P02647,APOA1,3255800000,3393400000,2415000000,2773900000,3010100000,3150200000,2734900000,2938600000,2834500000,2790200000,2440700000,2340100000,2748200000,2785400000,2645200000,2762600000,2837200000,3028500000,3519400000,3494400000,3946200000,3166300000,3202800000,3250500000,3370400000,2976400000,3085500000,3782000000,3194800000,2947000000,2531500000,4200200000,3945400000,2853700000,4177200000,4168500000,3483100000,4013200000,3063000000,3163200000,2158400000,3479100000
P02649,APOE,6415900000,5115300000,4965200000,4920600000,4392000000,5164900000,4709000000,4897100000,3909500000,3928900000,3951200000,3656100000,3896000000,3785100000,4124700000,4027100000,4126800000,5521600000,3764200000,2314000000,6418400000,11883000000,12349000000,11834000000,11528000000,9665600000,8431800000,9745000000,10580000000,7631300000,7478700000,9378500000,8812100000,6004700000,12624000000,13326000000,8144600000,11392000000,9485900000,6342800000,8925900000,7954200000
P02652,APOA2,964120000,529070000,680820000,331540000,894890000,855250000,957770000,737230000,908680000,878720000,806450000,617840000,881480000,783690000,993010000,977800000,1007800000,1225000000,895850000,38985000,334870000,809450000,884540000,1222000000,1089200000,1155700000,764240000,1572000000,1110600000,942780000,922890000,1635200000,354750000,683060000,953500000,263760000,1024200000,781100000,1130100000,378900000,279690000,957870000
P02655,APOC2,137380000,96086000,57800000,42612000,47417000,44527000,67672000,0,0,58547000,75590000,0,71221000,66725000,0,47043000,55732000,74494000,81604000,127190000,79852000,24776000,55395000,75970000,52266000,64765000,67746000,76189000,48979000,62581000,0,58712000,0,63625000,0,0,43496000,28735000,35006000,0,54791000,0
P02656,APOC3,1176300000,716860000,816550000,844690000,764050000,997190000,1005000000,950610000,907800000,824390000,633080000,806850000,840370000,859290000,845270000,852920000,897960000,942050000,973520000,1823100000,868200000,621230000,630810000,611290000,493750000,598850000,470080000,628850000,536210000,494460000,409020000,652910000,659050000,338900000,462040000,535610000,552100000,592710000,565990000,477600000,344200000,488760000
P02671,FGA,579320000,661740000,588010000,479740000,541620000,534470000,593980000,596010000,501500000,398360000,362310000,480660000,388810000,336270000,418080000,344130000,333460000,410070000,505590000,205250000,730980000,326420000,229200000,234050000,195630000,177730000,121330000,341480000,342550000,107550000,154690000,232530000,258630000,176190000,320590000,253510000,136520000,361050000,348310000,354080000,399400000,409520000
P02675,FGB,35201000,42985000,23860000,19236000,9346200,32668000,28591000,23261000,19697000,10843000,14174000,15148000,19572000,6467000,16378000,7048100,7395600,8524200,33571000,15133000,58712000,0,0,0,8394100,6524300,0,0,0,10496000,9712300,0,8210900,8018500,8253300,7267800,5966000,15088000,12946000,0,8616500,13296000
P02679,FGG,2553000000,1962200000,1850800000,2018200000,1925700000,1906900000,1972500000,1812800000,1835700000,1642300000,1811000000,1345700000,1419000000,1423500000,1215200000,1662500000,1345100000,2561700000,1928200000,1612200000,2743300000,1261800000,1587200000,1847700000,1404100000,855490000,609230000,994970000,1390600000,1106800000,1035200000,1222600000,1161400000,930070000,1464100000,1363900000,1027200000,1994100000,1234300000,1429100000,1346900000,1585400000
P02686,MBP,24183000,15134000,23931000,17810000,14905000,21379000,27432000,12397000,16188000,19724000,20423000,13844000,12169000,15281000,13641000,11807000,15639000,16478000,0,0,21321000,64016000,68877000,49070000,44069000,32898000,5636200,36634000,32947000,20246000,21318000,10093000,25951000,38035000,46503000,49527000,16785000,45566000,0,60628000,46265000,67267000
P02749,APOH,786530000,876250000,504300000,725190000,958960000,892580000,739240000,951060000,723030000,713570000,555650000,460190000,551980000,520700000,630270000,500660000,547260000,851290000,893050000,2243200000,1014000000,1163900000,979590000,914990000,776950000,906450000,791730000,909530000,880670000,1232100000,1052000000,1175100000,919100000,860420000,1216900000,893800000,929140000,1168800000,852350000,925990000,727640000,682180000
P02750,LRG1,59899000,48679000,29014000,21369000,24989000,29266000,28721000,22832000,30420000,31953000,27177000,26913000,31666000,24255000,33657000,34786000,27378000,43272000,47336000,55050000,46883000,70034000,80595000,60258000,54228000,77396000,85351000,73992000,47192000,62821000,57245000,67968000,20611000,57462000,71312000,72341000,33111000,51991000,51218000,68125000,38735000,26204000
P02751,FN1,6185400000,4886700000,4382600000,4599600000,4496100000,4312800000,4132800000,4319600000,4242400000,4095900000,3988600000,4246600000,3655300000,3511200000,4268300000,4273000000,3863800000,6088700000,4749800000,4432100000,5875300000,5457300000,6627700000,6925900000,5836700000,6447900000,5563300000,6309700000,6498700000,5367800000,4819300000,6990800000,5586100000,5308900000,6055500000,6225100000,5080600000,6074300000,5537800000,6984300000,6046200000,6998900000
P02753,RBP4,3420800000,3248500000,2811200000,3100000000,2500600000,2496700000,2148000000,2891300000,2565800000,1955600000,1935900000,2469800000,2338500000,2234400000,2301900000,2183300000,2350800000,4252300000,2997700000,3354400000,3211200000,4164700000,3566400000,4205300000,2756800000,2444700000,2382100000,2676300000,2943500000,2300500000,1941100000,3160500000,2767300000,1241500000,4701700000,3764100000,3662600000,4579800000,3910600000,3031200000,2231600000,3148400000
P02760,AMBP,1350200000,1177100000,1039300000,1065900000,1005200000,1298000000,1079400000,1193700000,1124300000,902700000,941560000,1089500000,974780000,955370000,1070700000,1059500000,975910000,1566100000,1362500000,1549200000,1545000000,2465100000,2169100000,2260400000,2123200000,1876300000,2333100000,1909200000,2068700000,1851500000,1589600000,2437000000,2587900000,1842900000,2280800000,2381500000,1991800000,2167300000,2250700000,1903500000,2047800000,2223100000
P02763,ORM1,1554700000,1233000000,1028800000,1104400000,1099400000,1045500000,897710000,966270000,1106700000,1155800000,918060000,810340000,980990000,1237100000,1102800000,1006300000,1105300000,1272700000,1047400000,1185200000,1144100000,2114300000,1679500000,2098000000,1425500000,1100100000,1310000000,1483800000,1425500000,1216300000,1157000000,1879200000,1659800000,1004500000,1787800000,1911700000,1707000000,1480500000,1593500000,976670000,1041900000,969460000
P02765,AHSG,1873600000,1391700000,1023600000,1528700000,1051000000,676920000,1043800000,921550000,1309900000,1042300000,1001100000,885270000,1284500000,965550000,1214900000,1094900000,1368500000,2051900000,1228700000,1637900000,1853200000,1115100000,1675800000,1649700000,1803400000,1355400000,1269300000,2197900000,1716100000,1082900000,1161500000,2097900000,1080300000,738000000,1683800000,1499700000,683870000,1029100000,1297500000,1391500000,1286100000,1321300000
P02766,TTR,203580000,186670000,136850000,147090000,98888000,123020000,82162000,67260000,76629000,78059000,108470000,87892000,78535000,55880000,102980000,76809000,66117000,136790000,235600000,126290000,83213000,217900000,175400000,194890000,189330000,94215000,142390000,205680000,207850000,141780000,130870000,226670000,188300000,113410000,234910000,211390000,168140000,125950000,137440000,182290000,184990000,227550000
P02771,AFP,5316800000,4877800000,3783800000,4128200000,3280500000,3152900000,3535000000,3619300000,3425800000,3103100000,2907900000,2954300000,3143400000,2762400000,3002100000,2414500000,2968600000,5438600000,5523100000,4022500000,5574600000,4600400000,4657700000,3219200000,3786700000,3759500000,3439400000,3440400000,3969800000,3842500000,3775500000,4222600000,4192200000,3363700000,4266100000,3817800000,4130000000,4212600000,4941400000,4406500000,4241400000,4078300000
P02786,TFRC,13407000000,11050000000,11998000000,9818900000,10194000000,9942900000,9460500000,10305000000,9473100000,8999600000,7846400000,9034200000,8547900000,7868700000,8676300000,8032900000,8769600000,13056000000,10685000000,9780700000,11757000000,10445000000,11848000000,10848000000,11247000000,9156000000,8869400000,11378000000,10941000000,10356000000,10340000000,12607000000,12763000000,8745900000,10654000000,11353000000,10477000000,9949600000,12651000000,9170000000,7298800000,7859900000
P02787,TF,24468000000,21558000000,17977000000,16642000000,17602000000,17092000000,17094000000,16191000000,17280000000,17819000000,15965000000,14732000000,17209000000,13969000000,16148000000,15471000000,15548000000,20631000000,25093000000,10736000000,22859000000,16151000000,18165000000,17544000000,13301000000,17214000000,14395000000,19695000000,16792000000,15663000000,13887000000,17897000000,17819000000,13932000000,15255000000,17734000000,17747000000,16591000000,17483000000,17259000000,14355000000,15629000000
P02792,FTL,189170000,188610000,63013000,86788000,74516000,99647000,78426000,103680000,99984000,148160000,60452000,85409000,97992000,93896000,156710000,153410000,116190000,178950000,192100000,89165000,121200000,284470000,430210000,330240000,316640000,298610000,249060000,406520000,410900000,408850000,313160000,399960000,393570000,426490000,436090000,431520000,272860000,260150000,249160000,141800000,249430000,245480000
P02794,FTH1,112640000,113310000,83785000,58595000,87584000,94511000,117890000,85785000,48928000,39047000,78245000,86110000,77535000,75699000,92020000,65540000,70587000,120390000,120730000,87851000,104080000,225580000,344540000,281320000,286690000,263260000,299740000,186170000,337300000,236590000,199320000,463110000,196520000,308580000,312370000,381640000,248010000,339910000,375760000,358950000,213240000,296810000
P02795,MT2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03886,MT-ND1,156240000,108010000,81061000,19131000,164800000,134490000,135710000,167170000,149180000,168200000,87933000,142110000,116900000,122090000,130000000,104240000,120410000,136250000,163080000,189340000,180070000,0,147250000,78228000,46902000,181250000,158540000,69265000,142830000,179230000,176390000,0,152830000,101520000,0,153600000,75981000,111350000,65422000,22292000,52052000,26535000
P03891,MT-ND2,120950000,100820000,124140000,78422000,17263000,93958000,0,0,92959000,85976000,70311000,41920000,88986000,74670000,66968000,64410000,76594000,95102000,78492000,131110000,103980000,239280000,185010000,185060000,106040000,224140000,177140000,200180000,170530000,199970000,127380000,231910000,183490000,157300000,209570000,194230000,94363000,200110000,226880000,191120000,124520000,219280000
P03897,MT-ND3,54282000,46403000,51989000,35961000,52866000,67846000,52344000,59546000,47130000,33595000,32585000,48790000,36617000,31296000,37433000,30434000,39775000,51877000,35614000,75543000,78549000,85055000,70963000,68950000,68472000,105580000,75400000,75025000,66550000,77441000,70908000,71003000,114570000,38212000,84833000,84283000,101600000,125320000,146330000,183830000,150690000,151400000
P03905,MT-ND4,27417000,27296000,14146000,17230000,0,0,9040700,0,2088500,12427000,15980000,10126000,10339000,9984400,11677000,14749000,9070300,24495000,7436500,10803000,18065000,41893000,36749000,35024000,12451000,22388000,17971000,38286000,49714000,41659000,14806000,40549000,48242000,34048000,45082000,14333000,41211000,27322000,29553000,37185000,23180000,24000000
P03915,MT-ND5,132390000,124520000,102960000,69326000,62354000,75052000,68149000,88616000,64649000,55000000,64765000,57149000,72935000,64858000,53685000,54271000,60621000,92576000,103560000,50259000,97008000,104050000,93715000,109770000,118760000,141640000,115300000,153170000,146600000,140960000,120430000,130350000,178790000,155000000,128650000,164000000,174180000,246490000,297200000,263970000,225960000,223720000
P03923,MT-ND6,0,0,0,0,0,0,0,0,10728000,12236000,0,0,0,0,0,0,0,0,0,0,0,0,15916000,0,23165000,0,44074000,42931000,17991000,0,0,46957000,50772000,0,28844000,26865000,0,0,0,24787000,6993200,0
P03928,MT-ATP8,305080000,180130000,204950000,199960000,215690000,137260000,217040000,10356000,189700000,221570000,183330000,188470000,180870000,154190000,209710000,210910000,201900000,301130000,320630000,110470000,245870000,291660000,326380000,270880000,306800000,246270000,255800000,300750000,319180000,113270000,364240000,372690000,219060000,265960000,314320000,261670000,296550000,267270000,196130000,358080000,257260000,250840000
P03951,F11,19576000,15907000,10290000,10876000,20829000,16371000,5871400,11199000,11318000,10278000,8717000,10599000,8180400,7490700,10118000,11004000,16667000,14624000,11750000,9277800,17725000,51711000,43031000,40196000,20855000,27272000,44601000,21699000,50870000,37806000,43980000,57862000,19550000,44626000,47169000,59220000,52968000,33914000,52152000,56309000,61730000,47766000
P04003,C4BPA,192410000,225430000,209450000,106230000,280170000,323510000,202290000,342410000,327140000,156060000,154790000,280900000,157970000,231180000,238210000,194390000,210840000,439270000,170650000,277270000,216820000,322380000,429580000,420950000,479770000,499440000,545140000,385140000,357210000,684340000,564440000,323650000,500300000,235480000,244460000,335890000,630520000,727970000,1078200000,639620000,783690000,831500000
P04004,VTN,167520000,64976000,49615000,51075000,94835000,73979000,99467000,82897000,71588000,90989000,19037000,58212000,138100000,96464000,119120000,68449000,80294000,144870000,81582000,121590000,106780000,156230000,125480000,170440000,155320000,139890000,117120000,133130000,159830000,197160000,65673000,211400000,51357000,74651000,21582000,0,117950000,90340000,108070000,95778000,103800000,52161000
P04035,HMGCR,89290000,28610000,46171000,76107000,60987000,17717000,55441000,40106000,38353000,33757000,26758000,18670000,20769000,34646000,34109000,11289000,36953000,67812000,83359000,60242000,62908000,13873000,0,16090000,0,4525700,0,6911300,7750100,0,0,26234000,6141000,4961400,24986000,13039000,11156000,13282000,0,0,26315000,12341000
P04040,CAT,9862600000,8085100000,6918500000,7209800000,7588800000,8118300000,8144300000,7767800000,7398100000,7631600000,7429100000,5801400000,6380300000,6278500000,6386000000,6094300000,7779800000,11141000000,11000000000,7297300000,10317000000,12165000000,11794000000,10757000000,11186000000,10867000000,9713500000,11644000000,10181000000,9661400000,8731400000,14418000000,14885000000,9095200000,12611000000,12700000000,13697000000,12570000000,13621000000,17081000000,13129000000,13342000000
P04049,RAF1,39306000,52604000,25660000,0,5382000,29050000,0,10257000,0,5390900,0,20400000,7960800,17813000,16119000,0,0,0,28050000,19331000,27173000,13154000,29867000,14397000,19303000,14078000,36131000,32196000,10432000,10008000,0,0,18987000,0,11313000,34852000,0,19446000,0,21898000,0,0
P04062,GBA,764440000,378990000,441730000,320250000,406280000,361370000,338050000,408520000,372750000,332770000,341470000,383520000,292100000,327940000,301060000,292880000,273320000,631690000,382020000,277950000,555600000,1116100000,1099600000,1151200000,862210000,664580000,741180000,952040000,780030000,655340000,585810000,1215000000,1064900000,678230000,1083800000,948560000,791140000,906150000,991500000,957350000,814500000,1074200000
P04066,FUCA1,1750400000,1273100000,1119600000,1091200000,1211400000,1186300000,1110200000,1206000000,1120300000,1299400000,1089500000,1035100000,1047500000,817500000,992830000,1063100000,1045500000,1556900000,680980000,689460000,784270000,1161600000,718240000,1045500000,629630000,986770000,540100000,1082600000,684820000,571970000,720340000,971580000,784610000,572600000,777820000,803350000,721530000,740790000,538230000,984010000,1425600000,1002800000
P04070,PROC,302220000,223630000,156010000,218010000,193040000,258310000,203920000,221670000,197870000,258990000,186620000,202990000,152300000,169100000,415140000,187660000,201860000,258850000,273600000,198300000,245210000,360900000,367000000,349870000,382900000,287680000,272320000,289900000,398390000,263270000,220510000,397110000,263220000,227260000,374390000,380710000,400130000,450430000,377890000,469940000,309720000,258090000
P04075,ALDOA,98952000000,76440000000,83206000000,80283000000,82790000000,69030000000,68086000000,75546000000,70372000000,80773000000,67078000000,61006000000,57942000000,67353000000,66717000000,68128000000,66208000000,1.06E+11,61690000000,75649000000,1.05E+11,99378000000,99786000000,1.18E+11,1.13E+11,72926000000,69374000000,94977000000,91283000000,63599000000,64287000000,83753000000,94929000000,49588000000,90642000000,86687000000,92423000000,1.03E+11,88112000000,1.00E+11,1.03E+11,87034000000
P04080,CSTB,10110000000,9592700000,9183600000,9105700000,8430400000,9861000000,9285100000,9134900000,8945600000,8138000000,8061500000,8628100000,7145000000,7033200000,7798900000,7773900000,7248900000,11153000000,9464400000,10755000000,13486000000,10652000000,9387900000,9369300000,9337900000,11699000000,8501200000,10164000000,12397000000,8730500000,9080600000,12320000000,13339000000,7774400000,11096000000,10367000000,11463000000,13710000000,11295000000,11994000000,11707000000,13470000000
P04114,APOB,11347000000,10309000000,10369000000,8349900000,8575400000,8307400000,7671900000,7578100000,7369800000,7261400000,6256900000,6662100000,7254300000,7322600000,7104200000,7385400000,7654800000,10708000000,10457000000,8258800000,10620000000,13587000000,12724000000,10940000000,11388000000,10160000000,10474000000,10368000000,9571300000,9525900000,9762700000,13752000000,13853000000,8002800000,13887000000,13113000000,11683000000,12129000000,15057000000,11315000000,10572000000,11378000000
P04150,NR3C1,154060000,167250000,106620000,123460000,82342000,71713000,97358000,75412000,93172000,97519000,66982000,92838000,85768000,82734000,79729000,64741000,56033000,185650000,100090000,86737000,216400000,289010000,262100000,278790000,261750000,168480000,158640000,181140000,209080000,177610000,155560000,225810000,162670000,218180000,210610000,234870000,192310000,258560000,217830000,182880000,286200000,322770000
P04156,PRNP,181820000,136780000,177610000,205610000,178170000,159850000,139450000,153780000,164590000,116650000,96001000,146770000,153340000,139320000,106550000,131110000,129760000,192440000,131870000,317540000,266040000,229190000,353250000,315370000,304630000,332460000,288760000,298920000,294940000,225230000,209470000,302670000,347460000,235940000,269550000,335120000,335720000,461540000,489590000,313530000,202230000,203700000
P04179,SOD2,10761000000,7553900000,7453900000,8253500000,6219100000,6839500000,5068900000,6475600000,6458600000,6132400000,5633700000,4726100000,5276600000,5859300000,4763400000,3130100000,4900700000,9379700000,9633900000,3398900000,7915300000,24073000000,25968000000,21385000000,24727000000,18317000000,15644000000,28214000000,24073000000,23279000000,20715000000,20269000000,25647000000,17265000000,27726000000,25373000000,28549000000,25829000000,27890000000,32357000000,28275000000,27743000000
P04181,OAT,14345000000,10315000000,9344700000,9242000000,9692700000,9989100000,9086700000,10446000000,9968000000,8865900000,8176200000,9029000000,7880000000,7847200000,8298100000,8805500000,8896200000,13288000000,10636000000,10861000000,13757000000,15302000000,14705000000,14859000000,15474000000,11941000000,11274000000,15800000000,11175000000,12571000000,12330000000,14108000000,15790000000,8083800000,15119000000,16053000000,17727000000,18710000000,19333000000,17399000000,15029000000,16131000000
P04183,TK1,794690000,776120000,791930000,728910000,610850000,690500000,685340000,757570000,853990000,734040000,727640000,791120000,671510000,811490000,843360000,778060000,785930000,839290000,1065200000,587090000,1195500000,825600000,721790000,619240000,590010000,665300000,1122300000,776370000,937450000,804500000,610320000,748860000,1067800000,515940000,823720000,823170000,1168900000,915110000,1051500000,569270000,734700000,674200000
P04233,CD74,814180000,536970000,569000000,458640000,362080000,403010000,466420000,382560000,374100000,429590000,371200000,431650000,495910000,431110000,398070000,471410000,479100000,848210000,557980000,819590000,797700000,1262500000,1003100000,1014600000,1127000000,892990000,1018700000,1076500000,983930000,989770000,874160000,920170000,875020000,847230000,1028000000,1162400000,1015300000,1172200000,1238300000,1040800000,536900000,792670000
P04350,TUBB4A,250850000,196350000,222120000,225470000,74372000,60357000,85519000,31784000,48437000,200280000,237140000,96267000,184370000,162250000,163400000,108170000,109010000,344260000,249450000,0,341120000,114270000,317690000,330920000,276020000,43631000,23032000,91813000,212850000,54099000,52945000,197370000,168080000,56367000,176280000,152170000,129860000,175080000,110280000,128960000,147290000,167520000
P04406,GAPDH,1.44E+11,1.14E+11,1.17E+11,1.10E+11,1.14E+11,1.15E+11,1.14E+11,1.26E+11,1.12E+11,98472000000,1.05E+11,1.03E+11,1.00E+11,1.03E+11,1.01E+11,92747000000,96061000000,1.36E+11,1.19E+11,1.40E+11,1.50E+11,1.52E+11,1.43E+11,1.40E+11,1.28E+11,1.34E+11,1.14E+11,1.25E+11,1.26E+11,1.14E+11,1.08E+11,1.36E+11,1.38E+11,1.09E+11,1.40E+11,1.48E+11,1.46E+11,1.55E+11,1.42E+11,1.20E+11,1.35E+11,1.38E+11
P04424,ASL,1704500000,1535300000,1490200000,1367600000,1217500000,1598900000,1398100000,1485500000,1346500000,1371900000,1426700000,1413100000,1280400000,1347300000,1331600000,1346700000,1573300000,1692800000,1631500000,1087600000,1933000000,1759700000,1793900000,1758400000,1699100000,1588400000,1588600000,1652500000,1402700000,1317300000,1211100000,1596500000,1901800000,1052700000,1525500000,1786700000,1501600000,1761900000,1564600000,1544600000,1539400000,2150200000
P04626,ERBB2,41444000,25307000,105950000,106830000,60089000,71111000,63227000,68281000,72098000,69853000,35017000,62790000,53610000,69778000,80341000,84390000,77267000,120980000,131560000,164590000,113760000,119030000,88762000,157630000,123750000,72565000,87848000,97857000,124700000,104360000,100670000,223620000,223780000,68577000,138500000,189960000,159120000,152270000,417470000,143630000,71533000,28014000
P04632,CAPNS1,2022500000,2323900000,1889300000,1932900000,1609000000,1536100000,1626800000,1553400000,1641700000,1671900000,1725500000,864100000,1261000000,760970000,1437500000,1083900000,1281200000,2829900000,3060400000,723690000,2392100000,2622600000,2881200000,2557000000,2731300000,2581500000,2937000000,2765700000,3171200000,2659000000,2579500000,3366600000,3122900000,2676100000,3113300000,2965600000,3235200000,2584700000,3287500000,2824700000,2576100000,2488200000
P04732,MT1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04733,MT1F,13453000,11849000,0,0,0,0,0,0,0,740650,0,0,0,0,0,0,0,8216000,5815900,0,11951000,2436900,12945000,0,8079400,0,1837500,0,7727300,5840000,530490,0,0,2325300,8528200,0,0,3281500,0,0,7532200,5104200
P04792,HSPB1,3832300000,4075400000,3657800000,3493000000,3973000000,4226100000,4008900000,3622400000,3965200000,3948600000,3429200000,3695900000,3590000000,3486500000,3907400000,3538700000,3903700000,3729400000,4337100000,6503400000,4908600000,4368600000,4770700000,3347900000,3602600000,4637700000,4758500000,5028100000,3214400000,3152900000,3701600000,5073500000,4265300000,2061300000,4658400000,4434700000,3191500000,4080900000,4498100000,2278000000,2137500000,2986400000
P04798,CYP1A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11584000,0,0,14643000,0,78800000,38337000,73701000,74568000,75219000,38190000,30254000,15868000,39809000,0,34539000,95488000,11980000,32875000,27810000,24572000,49463000,26933000,41270000,32810000
P04818,TYMS,2149200000,1511900000,1427300000,1340600000,1422800000,1380200000,1377000000,1597600000,1359900000,1397400000,1144300000,1345100000,1170700000,1094800000,1175600000,1088100000,1173800000,1946200000,1323500000,1798700000,2138900000,866900000,585280000,747440000,763110000,528970000,508930000,649750000,523860000,516090000,492180000,597880000,738880000,268620000,719300000,674230000,535160000,846220000,749390000,568600000,449000000,423370000
P04843,RPN1,26478000000,17918000000,21678000000,17796000000,15069000000,18321000000,16147000000,18903000000,16665000000,15779000000,14433000000,15453000000,15389000000,13353000000,14758000000,14546000000,16016000000,25887000000,20148000000,17139000000,22060000000,28572000000,26317000000,26030000000,25211000000,23552000000,22080000000,26310000000,23834000000,23650000000,20018000000,29678000000,24135000000,16430000000,29110000000,30021000000,25929000000,28351000000,29544000000,31644000000,25551000000,30381000000
P04844,RPN2,17208000000,15949000000,13315000000,12497000000,11456000000,11780000000,10848000000,10105000000,9774600000,10407000000,9266800000,9309300000,8731400000,8285900000,8255000000,8779000000,9030500000,13836000000,12893000000,9090500000,14248000000,15371000000,17227000000,13060000000,16392000000,13569000000,15554000000,15907000000,16502000000,16700000000,14261000000,19412000000,18935000000,13956000000,18794000000,20266000000,15810000000,17354000000,17450000000,17393000000,14263000000,15232000000
P04899,GNAI2,4527800000,3614500000,3716500000,3123000000,2968200000,2915700000,2994500000,3086000000,3092300000,2802200000,2666900000,3219300000,3039100000,2801500000,3246700000,3180100000,2899100000,5124100000,3746100000,3621600000,4169700000,4613100000,4380200000,4282200000,4713100000,4278900000,3843300000,5379000000,3753200000,3286200000,3686800000,4716100000,5691900000,2874100000,5271800000,5374400000,4841700000,4086300000,5184500000,4471100000,3370200000,4217100000
